Import_Type;IOP_ID;MBLID;Manager;Client_name;Organization_Type;Investment_Pool;Country;Existing_Client_(Is_this_a_cross_sale?);Decision_date;Fee_re_negotiation_with_existing_client;Strategy_name_or_mutual_fund_ticker;Asset_class;Product;Benchmark;Size_of_mandate_(in_millions_USD);Vehicle;Consultant_used_by_investor;Name_of_lead_consultant_used_by_investor;Delegated/fiduciary_account;Negotiated_Fee_Max_Break_point_#1;Negotiated_Fee_Max_Break_point_#1_BPs;Negotiated_Fee_Max_Break_point_#2;Negotiated_Fee_Max_Break_point_#2_BPs;Negotiated_Fee_Max_Break_point_#3;Negotiated_Fee_Max_Break_point_#3_BPs;Negotiated_Fee_Max_Break_point_#4;Negotiated_Fee_Max_Break_point_#4_BPs;Negotiated_Fee_Max_Break_point_#5;Negotiated_Fee_Max_Break_point_#5_BPs;Negotiated_Fee_Max_Break_point_#6;Negotiated_Fee_Max_Break_point_#6_BPs;Published_Fee_Max_Break_point_#1;Published_Fee_Max_Break_point_#1_BPs;Published_Fee_Max_Break_point_#2;Published_Fee_Max_Break_point_#2_BPs;Published_Fee_Max_Break_point_#3;Published_Fee_Max_Break_point_#3_BPs;Published_Fee_Max_Break_point_#4;Published_Fee_Max_Break_point_#4_BPs;Published_Fee_Max_Break_point_#5;Published_Fee_Max_Break_point_#5_BPs;Published_Fee_Max_Break_point_#6;Published_Fee_Max_Break_point_#6_BPs;Minimum_required_asset_level_(in_Millions_USD);Performance_fee_included;Recent_investment_performance_1_Year;Recent_investment_performance_3_Year;Recent_investment_performance_5_Year;Seed/scale_discount_offered;Relationship/strategic_acct_discount_offered;Pricing_impacted_by_MFN;Custom_servicing_commitments;Custom_reporting;Additional_commentary;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;167;Amer Cent;Corporate DB 6;Corporation;Defined Benefit;United States;No;2018-11-01;No;;Equity;International Small Cap;;50.72;Separate Account;;;No;50.72;36;;;;;;;;;;;25;95;75;90;150;85;151;80;;;;;;Yes;;;;No;;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;167;Amer Cent;Corporate DB 7;Corporation;Defined Benefit;United States;No;2018-03-16;No;;Equity;International Small Cap;;85.48;Separate Account;;;No;50;81;85.48;77;;;;;;;;;25;95;75;90;150;85;151;80;;;;;;No;;;;No;;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;167;Amer Cent;Corporate DB 8;Corporation;Defined Benefit;United States;No;2001-03-01;No;;Equity;Small Cap Value Equity;;28.48;Separate Account;;;No;25;85;28.48;75;;;;;;;;;25;95;75;85;76;75;;;;;;;;No;;;;No;;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;1799;JPMAM;130FFFFF;Corporation;Defined Contribution;United States;Yes;2018-11-23;No;;Equity ;Large Cap Growth Equity;;10;Collective Investment Trust;No;;No;2000;40;;;;;;;;;;;50;60;2000;40;;;;;;;;;;No;;;;No;;No;;;Standard Fee data only ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;167;Amer Cent;Endowment 1 (Multiple Accounts);Endowment;Other Investment Pool;United States;No;2015-12-29;No;;Equity;International Small Cap;;24.27;Separate Account;;;No;24.27;85.5;;;;;;;;;;;25;95;75;90;150;85;151;80;;;;;;No;;;;No;;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;167;Amer Cent;Endowment 1 (Multiple Accounts);Endowment;Other Investment Pool;United States;No;2015-12-29;No;;Equity;International Small Cap;;12.1;Separate Account;;;No;12.1;85.5;;;;;;;;;;;25;95;75;90;150;85;151;80;;;;;;No;;;;No;;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;167;Amer Cent;Endowment 2 (Multiple Accounts);Endowment;Other Investment Pool;United States;No;2017-05-25;No;;Equity;Emerging Markets Equity;;55.14;Separate Account;;;No;55.14;35;;;;;;;;;;;50;85;150;80;151;75;;;;;;;;Yes;;;;No;;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;167;Amer Cent;Endowment 2 (Multiple Accounts);Endowment;Other Investment Pool;United States;No;2017-05-25;No;;Equity;Emerging Markets Equity;;24.89;Separate Account;;;No;24.89;35;;;;;;;;;;;50;85;150;80;151;75;;;;;;;;Yes;;;;No;;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;167;Amer Cent;Eleeomosynary 1;Foundation;Other Investment Pool;United States;No;2014-01-17;No;;Equity;Global ex. U.S. Equity (ACWI ex. U.S.) ;;33.07;Separate Account;;;No;25;75;33.07;65;;;;;;;;;25;75;75;65;150;60;151;55;;;;;;No;;;;No;;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;167;Amer Cent;Eleeomosynary 2;Foundation;Other Investment Pool;United States;No;2012-11-01;No;;Equity;Global ex. U.S. Equity (ACWI ex. U.S.) ;;51.21;Separate Account;;;No;50;55;51.21;50;;;;;;;;;25;75;75;65;150;60;151;55;;;;;;No;;;;No;;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;167;Amer Cent;Foundation 1 ;Foundation;Other Investment Pool;United States;No;2006-07-03;No;;Equity;Global Core Equity;;448.29;Separate Account;;;No;100;52.5;350;47.5;448.29;40;;;;;;;25;75;75;65;150;60;448.29;55;;;;;;No;;;;No;;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;167;Amer Cent;Health Care 1;Healthcare Service Organization;Other Investment Pool;United States;No;2011-05-31;No;;Equity;Mid Cap Value Equity;;74.89;Separate Account;;;No;74.89;50;;;;;;;;;;;25;65;75;50;76;40;;;;;;;;No;;;;No;;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;167;Amer Cent;Health Care 2 (Multiple Accounts);Healthcare Service Organization;Other Investment Pool;United States;No;2018-12-20;No;;Fixed Income;Short Duration Bonds;;290.57;Separate Account;;;No;50;25;150;20;290.57;15;;;;;;;;;;;;;;;;;;;;No;;;;No;;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;167;Amer Cent;Health Care 2 (Multiple Accounts);Healthcare Service Organization;Other Investment Pool;United States;No;2012-06-28;No;;Fixed Income;Short Duration Bonds;;262.72;Separate Account;;;No;50;25;150;20;262.72;15;;;;;;;;;;;;;;;;;;;;No;;;;No;;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;167;Amer Cent;Insurance 1;Insurer;Other Investment Pool;United States;No;2015-01-05;No;;Equity;Global Core Equity;;141.83;Separate Account;;;No;50;52.5;141.83;48;;;;;;;;;25;75;75;65;150;60;151;55;;;;;;No;;;;No;;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;167;Amer Cent;Insurance 2;Insurer;Other Investment Pool;United States;No;2010-05-26;No;;Equity;Large Cap Value Equity;;243.84;Separate Account;;;No;243.84;42;;;;;;;;;;;25;65;75;50;243.84;40;;;;;;;;No;;;;No;;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;167;Amer Cent;Public 1;Public;Defined Benefit;United States;No;2014-02-07;No;;Equity;Global Core Equity;;48.86;Separate Account;;;No;48.86;49.5;;;;;;;;;;;25;75;75;65;150;60;151;55;;;;;;No;;;;No;;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;167;Amer Cent;Public 10;Public;Defined Benefit;United States;No;2015-09-09;No;;Equity;International Small Cap;;186.8;Separate Account;;;No;100;80;186.8;72;;;;;;;;;;;;;;;;;;;;;;No;;;;No;;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;167;Amer Cent;Public 11;Public;Defined Benefit;United States;No;2011-11-01;No;;Equity;Global Core Equity;;2196.31;Separate Account;;;No;100;45;350;42;850;40;1600;37;2196.31;36;;;25;75;75;65;150;60;2196.31;55;;;;;;No;;;;No;;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;167;Amer Cent;Public 12;Public;Defined Benefit;United States;No;2019-03-22;No;;Equity;Global Core Equity;;521.04;Separate Account;;;No;500;35;521.04;30;;;;;;;;;25;75;75;65;150;60;521.04;55;;;;;;No;;;;No;;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;167;Amer Cent;Public 13;Public;Defined Benefit;United States;No;2018-06-05;No;;Fixed Income;Absolute Return/Unconstrained Bonds;;101.79;Separate Account;;;No;101.79;31;;;;;;;;;;;;;;;;;;;;;;;;No;;;;No;;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;167;Amer Cent;Public 14;Public;Defined Benefit;United States;No;2009-02-27;No;;Equity;International Small Cap;;321.96;Separate Account;;;No;321.96;65;;;;;;;;;;;;;;;;;;;;;;;;No;;;;No;;Yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;167;Amer Cent;Public 2;Public;Defined Benefit;United States;No;2015-05-20;No;;Equity;Global Core Equity;;222.48;Separate Account;;;No;200;43.88;222.48;40.5;;;;;;;;;25;75;75;65;150;60;222.48;55;;;;;;No;;;;No;;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;167;Amer Cent;Public 3;Public;Defined Benefit;United States;No;2016-06-30;No;;Equity;Global Core Equity;;211.59;Separate Account;;;No;211.59;43.88;;;;;;;;;;;25;75;75;65;150;60;211.59;55;;;;;;No;;;;No;;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;167;Amer Cent;Public 4;Public;Defined Benefit;United States;No;2004-11-05;No;;Equity;Small Cap Value Equity;;27.7;Separate Account;;;No;25;80;27.7;75;;;;;;;;;25;95;75;85;76;75;;;;;;;;No;;;;No;;Yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;167;Amer Cent;Public 5;Public;Defined Benefit;United States;No;2017-09-01;No;;Equity;Small Cap Value Equity;;43.79;Separate Account;;;No;25;80;43.79;75;;;;;;;;;25;95;75;85;76;75;;;;;;;;No;;;;No;;Yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;167;Amer Cent;Public 6 (multiple accounts);Public;Defined Benefit;United States;No;2017-03-30;Yes;;Equity;Global ex. U.S. Equity (ACWI ex. U.S.);;328.19;Separate Account;;;No;328.19;41.92;;;;;;;;;;;25;75;75;65;150;60;328.19;55;;;;;;No;;;;No;;Yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;167;Amer Cent;Public 6 (multiple accounts);Public;Defined Benefit;United States;No;2017-03-30;Yes;;Equity;Global ex. U.S. Equity (ACWI ex. U.S.);;143.57;Separate Account;;;No;143.57;41.92;;;;;;;;;;;25;75;75;65;150;60;151;55;;;;;;No;;;;No;;Yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;167;Amer Cent;Public 7;Public;Defined Benefit;United States;No;2018-04-19;No;;Equity;Global Core Equity;;107.15;Separate Account;;;No;50;49.5;107.15;45;;;;;;;;;25;75;75;65;150;60;151;55;;;;;;No;;;;No;;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;167;Amer Cent;Public 8;Public;Defined Benefit;United States;No;2019-01-28;No;;Equity;Emerging Markets Equity;;41.13;Separate Account;;;No;41.13;65;;;;;;;;;;;50;85;150;80;151;75;;;;;;;;No;;;;No;;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;167;Amer Cent;Public 9;Public;Defined Benefit;United States;No;2014-03-03;No;;Equity;International Small Cap;;49.28;Separate Account;;;No;25;85.5;49.28;81;;;;;;;;;25;95;75;90;150;85;151;80;;;;;;No;;;;No;;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;167;Amer Cent;SWF 1;Sovereign Wealth Fund;Other Investment Pool;United States;No;2014-10-28;No;;Equity;International Small Cap;;50.86;Separate Account;;;No;25;90;50.86;85;;;;;;;;;25;95;75;90;150;85;151;80;;;;;;No;;;;No;;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;167;Amer Cent;SWF 2 (multiple Accounts);Sovereign Wealth Fund;Other Investment Pool;United States;No;2017-07-25;No;;Fixed Income;Absolute Return/Unconstrained Bonds;;406.42;Separate Account;;;No;406.42;25;;;;;;;;;;;;;;;;;;;;;;;;No;;;;No;;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;167;Amer Cent;SWF 2 (multiple Accounts);Sovereign Wealth Fund;Other Investment Pool;United States;No;2017-07-25;No;;Fixed Income;Absolute Return/Unconstrained Bonds;;228.89;Separate Account;;;No;228.89;25;;;;;;;;;;;;;;;;;;;;;;;;No;;;;No;;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;167;Amer Cent;SWF 2 (multiple Accounts);Sovereign Wealth Fund;Other Investment Pool;United States;No;2017-07-25;No;;Fixed Income;Absolute Return/Unconstrained Bonds;;101.67;Separate Account;;;No;101.67;25;;;;;;;;;;;;;;;;;;;;;;;;No;;;;No;;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;167;Amer Cent;SWF 2 (multiple Accounts);Sovereign Wealth Fund;Other Investment Pool;United States;No;2017-07-25;No;;Fixed Income;Absolute Return/Unconstrained Bonds;;50.9;Separate Account;;;No;50.9;25;;;;;;;;;;;;;;;;;;;;;;;;No;;;;No;;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;167;Amer Cent;SWF 3;Sovereign Wealth Fund;Other Investment Pool;United States;No;2008-04-15;No;;Equity;Global Core Equity;;9570.31;Separate Account;;;No;250;48;1250;40;9570.31;35;;;;;;;25;75;75;65;150;60;9570.31;55;;;;;;No;;;;No;;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;1799;JPMAM;57VV;Central Bank;Defined Benefit;United States;No;2018-04-18;No;;Fixed Income;Liability Driven Investing (LDI);;27;Collective Investment Trust;No;;No;27;55.00000000000001;;;;;;;;;;;50;55;150;50;151;45;;;;;;;25;No;;;;No;;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;6264;Voya;001o000000cTbsz;Sub-Advisory;Other Investment Pool;United States;Yes;2017-12-20;No;Large Cap Growth R1000G;Equity;Large Cap Growth Equity;;300;Mutual Fund-non-UCIT;No;;No;300;45;;;;;;;;;;;;;;;;;;;;;;;;No;3rd Quartile;2nd Quartile;2nd Quartile;No;No;No;No;Yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;1799;JPMAM;131GGGGG;Corporation;Defined Benefit;United States;Yes;2018-11-26;No;;Equity ;Emerging Markets Equity;;10869000;Collective Investment Trust;Yes;Other;No;11;80;;;;;;;;;;;11;78;;;;;;;;;;;10;No;;;;No;;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
